edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
56,41,57,-28.0,-24.86692567495048,-32.0,-22.557528060401083,4.618800422413426,1.7685857762027855,1.311304257011312,31.130425701131202,True,-28.45760291148709,-25.133798047274567,32.5048909582224,-32.483293858982435,-22.575007086539035,36.237107807806936
57,42,43,-16.0,-22.55752459819198,-12.0,-24.86692567495048,4.618802153517005,1.0162672795155863,1.2402926296514016,24.029262965140163,False,-19.973900470828525,-26.32748682527572,17.964789635311526,-15.141463664080666,-28.78708657204176,16.116671453464864
58,42,60,-16.0,-22.55752459819198,-16.0,-17.938725906884073,4.618798691307905,1.087123415121866,1.2548729071020768,25.487290710207677,False,-19.973900470828525,-26.32748682527572,17.964789635311526,-19.790740243210116,-21.647969858076898,14.54978579950775
59,43,44,-12.0,-24.86692567495048,-8.0,-22.55752459819198,4.618802153517005,1.1554912237972297,1.3207765719980864,32.07765719980864,False,-15.141463664080666,-28.78708657204176,16.116671453464864,-10.780836695948919,-26.94299794313621,12.269696151511084
60,44,45,-8.0,-22.55752459819198,-3.999999999999999,-24.86692567495048,4.618802153517006,1.0031164402700963,1.2477779395807667,24.777793958076664,False,-10.780836695948919,-26.94299794313621,12.269696151511084,-5.305761518957617,-28.689050277723613,11.83405658726494
61,44,62,-8.0,-22.55752459819198,-7.999999999999999,-17.938725906884073,4.618798691307905,1.0683853468466935,1.2395453668081275,23.954536680812755,False,-10.780836695948919,-26.94299794313621,12.269696151511084,-10.545296626727804,-22.02413289485038,9.349538109845106
62,45,46,-3.999999999999999,-24.86692567495048,2.828200636599752e-16,-22.55752459819198,4.618802153517005,1.0470314102265008,1.2728033861721906,27.28033861721906,False,-5.305761518957617,-28.689050277723613,11.83405658726494,0.029893468815778767,-26.938698852655346,10.094038517328086
63,46,47,2.828200636599752e-16,-22.55752459819198,4.000000000000001,-24.86692567495048,4.618802153517006,1.047031516041085,1.2714545677555704,27.145456775557044,False,0.029893468815778767,-26.938698852655346,10.094038517328086,5.355338461474895,-28.689070851488893,11.844247117375563
64,46,64,2.828200636599752e-16,-22.55752459819198,8.881784197001252e-16,-17.938725906884073,4.618798691307905,1.0652324318790485,1.216998217453731,21.699821745373104,False,0.029893468815778767,-26.938698852655346,10.094038517328086,0.04265380361997547,-21.977980890327892,7.450642996905399
65,47,48,4.000000000000001,-24.86692567495048,8.0,-22.55752459819198,4.618802153517004,1.0031164680767253,1.2470303081211116,24.70303081211116,False,5.355338461474895,-28.689070851488893,11.844247117375563,10.827816214126337,-26.949920622666493,12.294226711288667
66,48,49,8.0,-22.55752459819198,12.0,-24.86692567495048,4.618802153517005,1.155491221776864,1.3189502510565898,31.89502510565898,False,10.827816214126337,-26.949920622666493,12.294226711288667,15.171904214980417,-28.79585148372169,16.145660255477214
67,48,66,8.0,-22.55752459819198,7.999993218315973,-17.938725906884073,4.618798691312884,1.0683854558995958,1.2378130827860454,23.78130827860454,False,10.827816214126337,-26.949920622666493,12.294226711288667,10.623207301862875,-22.033815941409934,9.38277796277195
